Country Code,Country,Date,Core_CPI
FIN,Finland,1980-01-01,10.3
FRA,France,1980-01-01,13.1
GBR,United Kingdom,1980-01-01,18.2
GRC,Greece,1980-01-01,23.7
GTM,Guatemala,1980-01-01,19.0
IRL,Ireland,1980-01-01,19.5
ISR,Israel,1980-01-01,115.0
ITA,Italy,1980-01-01,40.7
JPN,Japan,1980-01-01,5.9
KOR,"Korea, Rep.",1980-01-01,28.3
LUX,Luxembourg,1980-01-01,5.8
MEX,Mexico,1980-01-01,27.0
NLD,Netherlands,1980-01-01,6.3
NOR,Norway,1980-01-01,10.4
NZL,New Zealand,1980-01-01,16.1
PAN,Panama,1980-01-01,13.1
PRT,Portugal,1980-01-01,14.8
SGP,Singapore,1980-01-01,16.8
SWE,Sweden,1980-01-01,12.5
TUN,Tunisia,1980-01-01,12.9
USA,United States,1980-01-01,12.4
AUS,Australia,1981-01-01,9.1
AUT,Austria,1981-01-01,5.2
BEL,Belgium,1981-01-01,23.0
CAN,Canada,1981-01-01,11.1
CHE,Switzerland,1981-01-01,5.4
DEU,Germany,1981-01-01,5.8
DNK,Denmark,1981-01-01,10.2
ESP,Spain,1981-01-01,12.5
ETH,Ethiopia,1981-01-01,9.5
FIN,Finland,1981-01-01,10.2
FRA,France,1981-01-01,12.5
GBR,United Kingdom,1981-01-01,11.1
GRC,Greece,1981-01-01,22.7
GTM,Guatemala,1981-01-01,10.1
IRL,Ireland,1981-01-01,21.3
ISR,Israel,1981-01-01,125.1
ITA,Italy,1981-01-01,18.2
JPN,Japan,1981-01-01,4.7
KOR,"Korea, Rep.",1981-01-01,20.6
LUX,Luxembourg,1981-01-01,7.4
MEX,Mexico,1981-01-01,29.5
NLD,Netherlands,1981-01-01,5.9
NOR,Norway,1981-01-01,12.3
NZL,New Zealand,1981-01-01,15.3
PAN,Panama,1981-01-01,13.7
PRT,Portugal,1981-01-01,18.2
SGP,Singapore,1981-01-01,1.6
SWE,Sweden,1981-01-01,11.0
TUN,Tunisia,1981-01-01,17.9
USA,United States,1981-01-01,10.5
AUS,Australia,1982-01-01,12.2
AUT,Austria,1982-01-01,5.7
BEL,Belgium,1982-01-01,7.1
CAN,Canada,1982-01-01,10.7
CHE,Switzerland,1982-01-01,5.8
CYP,Cyprus,1982-01-01,-13.7
DEU,Germany,1982-01-01,4.8
DNK,Denmark,1982-01-01,9.8
ESP,Spain,1982-01-01,14.7
FIN,Finland,1982-01-01,9.0
FRA,France,1982-01-01,11.3
GBR,United Kingdom,1982-01-01,8.2
GRC,Greece,1982-01-01,20.9
GTM,Guatemala,1982-01-01,3.2
IRL,Ireland,1982-01-01,18.6
ISR,Israel,1982-01-01,121.6
ITA,Italy,1982-01-01,17.0
JPN,Japan,1982-01-01,3.0
KOR,"Korea, Rep.",1982-01-01,8.7
LUX,Luxembourg,1982-01-01,8.8
MEX,Mexico,1982-01-01,59.1
NLD,Netherlands,1982-01-01,5.4
NOR,Norway,1982-01-01,10.6
NZL,New Zealand,1982-01-01,17.2
PAN,Panama,1982-01-01,5.7
PRT,Portugal,1982-01-01,18.8
SGP,Singapore,1982-01-01,-4.4
SWE,Sweden,1982-01-01,7.4
TUN,Tunisia,1982-01-01,8.3
TWN,"Taiwan, China",1982-01-01,2.3
USA,United States,1982-01-01,7.4
AUS,Australia,1983-01-01,9.7
AUT,Austria,1983-01-01,4.3
BEL,Belgium,1983-01-01,8.4
CAN,Canada,1983-01-01,6.2
CHE,Switzerland,1983-01-01,3.7
DEU,Germany,1983-01-01,3.8
DNK,Denmark,1983-01-01,8.1
ESP,Spain,1983-01-01,12.3
FIN,Finland,1983-01-01,9.3
FRA,France,1983-01-01,9.5
GBR,United Kingdom,1983-01-01,4.4
GRC,Greece,1983-01-01,20.9
GTM,Guatemala,1983-01-01,5.5
IRL,Ireland,1983-01-01,11.2
ISR,Israel,1983-01-01,145.4
ITA,Italy,1983-01-01,10.6
JPN,Japan,1983-01-01,2.5
KOR,"Korea, Rep.",1983-01-01,4.1
LUX,Luxembourg,1983-01-01,7.7
MEX,Mexico,1983-01-01,102.8
NLD,Netherlands,1983-01-01,3.5
NOR,Norway,1983-01-01,8.7
NZL,New Zealand,1983-01-01,8.4
