Inflation Measure Type,Series Name,Description,Aggregation,Year,Inflation Rate
GDP deflator growth rate,DEFLATOR_GLOBAL_MED,Global GDP deflator growth rate,Median,1973,11.4
(percent),DEFLATOR_GLOBAL_AVE,Global GDP deflator growth rate,Average,1973,12.2
,DEFLATOR_GLOBAL_AVE_GDP,Global GDP deflator growth rate,GDP-weighted Average,1973,8.8
,DEFLATOR_AE_MED,Advanced-economy GDP deflator growth rate,Median,1973,12.2
,DEFLATOR_AE_AVE,Advanced-economy GDP deflator growth rate,Average,1973,13.2
,DEFLATOR_AE_AVE_GDP,Advanced-economy GDP deflator growth rate,GDP-weighted Average,1973,8.0
,DEFLATOR_EMDE_MED,EMDE GDP deflator growth rate,Median,1973,11.4
,DEFLATOR_EMDE_AVE,EMDE GDP deflator growth rate,Average,1973,12.3
,DEFLATOR_EMDE_AVE_GDP,EMDE GDP deflator growth rate,GDP-weighted Average,1973,12.7
,DEFLATOR_EAP_MED,EMDE GDP deflator growth rate: East Asia and Pacific ,Median,1973,12.5
,DEFLATOR_ECA_MED,EMDE GDP deflator growth rate: Europe and Central Asia ,Median,1973,11.8
,DEFLATOR_LAC_MED,EMDE GDP deflator growth rate: Latin America and the Caribbean ,Median,1973,14.8
,DEFLATOR_MNA_MED,EMDE GDP deflator growth rate: Middle East and North Africa ,Median,1973,8.5
,DEFLATOR_SAR_MED,EMDE GDP deflator growth rate: South Asia ,Median,1973,13.0
,DEFLATOR_SSA_MED,EMDE GDP deflator growth rate: Sub-Saharan Africa ,Median,1973,10.0
Headline CPI inflation,HCPI_GLOBAL_MED,Global headline consumer price index (HCPI) inflation,Median,1974,16.9
(percent),HCPI_GLOBAL_AVE,Global headline consumer price index (HCPI) inflation,Average,1974,17.2
,HCPI_GLOBAL_AVE_GDP,Global headline consumer price index (HCPI) inflation,GDP-weighted Average,1974,14.4
,HCPI_GLOBAL_MED_BAL,Global headline consumer price index (HCPI) inflation,Median (balanced group),1974,16.9
,HCPI_AE_MED,Advanced-economy HCPI inflation,Median,1974,16.0
,HCPI_AE_AVE,Advanced-economy HCPI inflation,Average,1974,16.8
,HCPI_AE_AVE_GDP,Advanced-economy HCPI inflation,GDP-weighted Average,1974,13.5
,HCPI_AE_MED_BAL,Advanced-economy HCPI inflation,Median (balanced group),1974,15.4
,HCPI_EMDE_MED,EMDE  HCPI inflation,Median,1974,17.5
,HCPI_EMDE_AVE,EMDE  HCPI inflation,Average,1974,17.4
,HCPI_EMDE_AVE_GDP,EMDE  HCPI inflation,GDP-weighted Average,1974,18.4
,HCPI_EMDE_MED_BAL,EMDE  HCPI inflation,Median (balanced group),1974,17.5
