Country Code,Country,Date,Core_CPI
SWE,Sweden,1974-01-01,18.5
USA,United States,1974-01-01,19.5
AUS,Australia,1974-04-01,12.9
AUT,Austria,1974-04-01,28.3
CAN,Canada,1974-04-01,21.5
CHE,Switzerland,1974-04-01,44.3
DEU,Germany,1974-04-01,38.4
DNK,Denmark,1974-04-01,19.4
FIN,Finland,1974-04-01,17.2
FRA,France,1974-04-01,20.2
GBR,United Kingdom,1974-04-01,13.2
GRC,Greece,1974-04-01,2.2
ISR,Israel,1974-04-01,0.0
ITA,Italy,1974-04-01,7.7
JPN,Japan,1974-04-01,47.5
LUX,Luxembourg,1974-04-01,25.6
NLD,Netherlands,1974-04-01,30.0
NZL,New Zealand,1974-04-01,9.4
PRT,Portugal,1974-04-01,2.8
SWE,Sweden,1974-04-01,18.8
USA,United States,1974-04-01,20.0
AUS,Australia,1974-07-01,13.6
AUT,Austria,1974-07-01,28.6
CAN,Canada,1974-07-01,22.1
CHE,Switzerland,1974-07-01,45.3
DEU,Germany,1974-07-01,38.8
DNK,Denmark,1974-07-01,20.2
FIN,Finland,1974-07-01,17.8
FRA,France,1974-07-01,20.8
GBR,United Kingdom,1974-07-01,13.6
GRC,Greece,1974-07-01,2.2
ISR,Israel,1974-07-01,0.0
ITA,Italy,1974-07-01,8.1
JPN,Japan,1974-07-01,49.0
LUX,Luxembourg,1974-07-01,26.1
NLD,Netherlands,1974-07-01,30.5
NZL,New Zealand,1974-07-01,9.8
PRT,Portugal,1974-07-01,2.9
SWE,Sweden,1974-07-01,19.1
USA,United States,1974-07-01,20.7
AUS,Australia,1974-10-01,14.2
AUT,Austria,1974-10-01,29.5
CAN,Canada,1974-10-01,22.8
CHE,Switzerland,1974-10-01,46.6
DEU,Germany,1974-10-01,39.3
DNK,Denmark,1974-10-01,21.0
FIN,Finland,1974-10-01,18.4
FRA,France,1974-10-01,21.6
GBR,United Kingdom,1974-10-01,14.1
GRC,Greece,1974-10-01,2.3
ISR,Israel,1974-10-01,0.0
ITA,Italy,1974-10-01,8.6
JPN,Japan,1974-10-01,50.9
LUX,Luxembourg,1974-10-01,26.8
NLD,Netherlands,1974-10-01,31.5
NZL,New Zealand,1974-10-01,10.1
PRT,Portugal,1974-10-01,2.8
SWE,Sweden,1974-10-01,20.1
USA,United States,1974-10-01,21.3
AUS,Australia,1975-01-01,14.8
AUT,Austria,1975-01-01,30.4
CAN,Canada,1975-01-01,23.2
CHE,Switzerland,1975-01-01,47.5
DEU,Germany,1975-01-01,40.0
DNK,Denmark,1975-01-01,21.3
FIN,Finland,1975-01-01,19.4
FRA,France,1975-01-01,22.2
GBR,United Kingdom,1975-01-01,14.6
GRC,Greece,1975-01-01,2.4
ISR,Israel,1975-01-01,0.0
ITA,Italy,1975-01-01,9.0
JPN,Japan,1975-01-01,51.8
LUX,Luxembourg,1975-01-01,27.4
NLD,Netherlands,1975-01-01,32.1
NZL,New Zealand,1975-01-01,10.5
PRT,Portugal,1975-01-01,3.0
SWE,Sweden,1975-01-01,20.3
USA,United States,1975-01-01,21.7
AUS,Australia,1975-04-01,15.3
AUT,Austria,1975-04-01,31.0
CAN,Canada,1975-04-01,23.8
CHE,Switzerland,1975-04-01,48.3
DEU,Germany,1975-04-01,40.7
DNK,Denmark,1975-04-01,21.7
FIN,Finland,1975-04-01,20.2
FRA,France,1975-04-01,22.7
GBR,United Kingdom,1975-04-01,16.1
GRC,Greece,1975-04-01,2.5
ISR,Israel,1975-04-01,0.0
ITA,Italy,1975-04-01,9.2
JPN,Japan,1975-04-01,53.5
LUX,Luxembourg,1975-04-01,28.2
NLD,Netherlands,1975-04-01,33.1
NZL,New Zealand,1975-04-01,10.9
PRT,Portugal,1975-04-01,3.1
SWE,Sweden,1975-04-01,20.7
USA,United States,1975-04-01,22.1
AUS,Australia,1975-07-01,15.3
AUT,Austria,1975-07-01,31.3
CAN,Canada,1975-07-01,24.4
CHE,Switzerland,1975-07-01,48.6
DEU,Germany,1975-07-01,40.9
DNK,Denmark,1975-07-01,22.0
FIN,Finland,1975-07-01,20.9
FRA,France,1975-07-01,23.2
GBR,United Kingdom,1975-07-01,16.9
GRC,Greece,1975-07-01,2.5
ISR,Israel,1975-07-01,0.0
ITA,Italy,1975-07-01,9.4
JPN,Japan,1975-07-01,54.1
LUX,Luxembourg,1975-07-01,28.7
NLD,Netherlands,1975-07-01,33.8
NZL,New Zealand,1975-07-01,11.2
PRT,Portugal,1975-07-01,3.2
SWE,Sweden,1975-07-01,21.3
USA,United States,1975-07-01,22.4
AUS,Australia,1975-10-01,16.3
AUT,Austria,1975-10-01,31.8
CAN,Canada,1975-10-01,24.9
CHE,Switzerland,1975-10-01,49.0
DEU,Germany,1975-10-01,41.2
DNK,Denmark,1975-10-01,21.9
FIN,Finland,1975-10-01,21.7
FRA,France,1975-10-01,23.7
GBR,United Kingdom,1975-10-01,17.5
GRC,Greece,1975-10-01,2.7
ISR,Israel,1975-10-01,0.0
ITA,Italy,1975-10-01,9.7
JPN,Japan,1975-10-01,55.3
LUX,Luxembourg,1975-10-01,29.4
NLD,Netherlands,1975-10-01,34.5
NZL,New Zealand,1975-10-01,11.8
PRT,Portugal,1975-10-01,3.3
SWE,Sweden,1975-10-01,21.7
USA,United States,1975-10-01,22.8
AUS,Australia,1976-01-01,16.7
AUT,Austria,1976-01-01,33.6
CAN,Canada,1976-01-01,25.3
CHE,Switzerland,1976-01-01,49.3
DEU,Germany,1976-01-01,41.9
DNK,Denmark,1976-01-01,22.5
ESP,Spain,1976-01-01,8.7
FIN,Finland,1976-01-01,22.8
FRA,France,1976-01-01,24.3
GBR,United Kingdom,1976-01-01,17.9
GRC,Greece,1976-01-01,2.7
IRL,Ireland,1976-01-01,14.8
ISR,Israel,1976-01-01,0.0
ITA,Italy,1976-01-01,10.2
JPN,Japan,1976-01-01,56.7
LUX,Luxembourg,1976-01-01,30.2
NLD,Netherlands,1976-01-01,35.0
NZL,New Zealand,1976-01-01,12.3
PRT,Portugal,1976-01-01,3.6
SWE,Sweden,1976-01-01,22.3
USA,United States,1976-01-01,23.1
AUS,Australia,1976-04-01,17.2
AUT,Austria,1976-04-01,34.0
CAN,Canada,1976-04-01,25.8
CHE,Switzerland,1976-04-01,49.3
DEU,Germany,1976-04-01,42.3
DNK,Denmark,1976-04-01,23.4
ESP,Spain,1976-04-01,9.5
FIN,Finland,1976-04-01,23.1
FRA,France,1976-04-01,24.8
GBR,United Kingdom,1976-04-01,18.6
GRC,Greece,1976-04-01,2.9
IRL,Ireland,1976-04-01,15.7
ISR,Israel,1976-04-01,0.0
ITA,Italy,1976-04-01,10.7
JPN,Japan,1976-04-01,58.7
LUX,Luxembourg,1976-04-01,30.9
NLD,Netherlands,1976-04-01,36.2
NZL,New Zealand,1976-04-01,12.7
PRT,Portugal,1976-04-01,3.3
SWE,Sweden,1976-04-01,22.8
USA,United States,1976-04-01,23.5
AUS,Australia,1976-07-01,17.6
AUT,Austria,1976-07-01,34.5
BEL,Belgium,1976-07-01,30.7
CAN,Canada,1976-07-01,26.2
CHE,Switzerland,1976-07-01,49.4
DEU,Germany,1976-07-01,42.4
DNK,Denmark,1976-07-01,23.8
ESP,Spain,1976-07-01,9.8
FIN,Finland,1976-07-01,23.7
FRA,France,1976-07-01,25.3
GBR,United Kingdom,1976-07-01,19.0
GRC,Greece,1976-07-01,2.9
IRL,Ireland,1976-07-01,16.0
ISR,Israel,1976-07-01,0.0
ITA,Italy,1976-07-01,11.0
JPN,Japan,1976-07-01,59.4
LUX,Luxembourg,1976-07-01,31.5
NLD,Netherlands,1976-07-01,36.3
NZL,New Zealand,1976-07-01,13.1
PRT,Portugal,1976-07-01,4.0
SWE,Sweden,1976-07-01,23.1
USA,United States,1976-07-01,23.9
AUS,Australia,1976-10-01,18.8
AUT,Austria,1976-10-01,35.0
BEL,Belgium,1976-10-01,31.2
CAN,Canada,1976-10-01,26.6
CHE,Switzerland,1976-10-01,49.6
DEU,Germany,1976-10-01,42.8
DNK,Denmark,1976-10-01,24.6
ESP,Spain,1976-10-01,10.3
FIN,Finland,1976-10-01,24.3
FRA,France,1976-10-01,25.9
GBR,United Kingdom,1976-10-01,19.7
GRC,Greece,1976-10-01,3.0
IRL,Ireland,1976-10-01,16.6
ISR,Israel,1976-10-01,0.0
ITA,Italy,1976-10-01,11.5
JPN,Japan,1976-10-01,60.8
LUX,Luxembourg,1976-10-01,32.0
NLD,Netherlands,1976-10-01,37.2
NZL,New Zealand,1976-10-01,13.5
PRT,Portugal,1976-10-01,4.3
SWE,Sweden,1976-10-01,23.8
USA,United States,1976-10-01,24.3
AUS,Australia,1977-01-01,19.1
AUT,Austria,1977-01-01,35.8
BEL,Belgium,1977-01-01,31.8
CAN,Canada,1977-01-01,27.1
CHE,Switzerland,1977-01-01,49.8
DEU,Germany,1977-01-01,43.4
DNK,Denmark,1977-01-01,24.9
ESP,Spain,1977-01-01,11.1
FIN,Finland,1977-01-01,25.0
FRA,France,1977-01-01,26.2
GBR,United Kingdom,1977-01-01,20.7
GRC,Greece,1977-01-01,3.0
IRL,Ireland,1977-01-01,17.2
ISR,Israel,1977-01-01,0.0
ITA,Italy,1977-01-01,12.0
JPN,Japan,1977-01-01,61.8
LUX,Luxembourg,1977-01-01,32.7
NLD,Netherlands,1977-01-01,37.5
NZL,New Zealand,1977-01-01,13.8
PRT,Portugal,1977-01-01,4.4
SWE,Sweden,1977-01-01,24.3
USA,United States,1977-01-01,24.6
AUS,Australia,1977-04-01,19.7
AUT,Austria,1977-04-01,36.3
BEL,Belgium,1977-04-01,32.6
CAN,Canada,1977-04-01,27.7
CHE,Switzerland,1977-04-01,50.0
DEU,Germany,1977-04-01,43.9
DNK,Denmark,1977-04-01,25.7
ESP,Spain,1977-04-01,11.8
FIN,Finland,1977-04-01,25.7
FRA,France,1977-04-01,26.9
GBR,United Kingdom,1977-04-01,21.6
GRC,Greece,1977-04-01,3.2
IRL,Ireland,1977-04-01,17.8
ISR,Israel,1977-04-01,0.0
ITA,Italy,1977-04-01,12.5
JPN,Japan,1977-04-01,63.8
LUX,Luxembourg,1977-04-01,33.3
NLD,Netherlands,1977-04-01,38.6
NZL,New Zealand,1977-04-01,14.4
PRT,Portugal,1977-04-01,4.7
SWE,Sweden,1977-04-01,25.2
USA,United States,1977-04-01,25.0
AUS,Australia,1977-07-01,20.0
AUT,Austria,1977-07-01,36.6
BEL,Belgium,1977-07-01,33.2
CAN,Canada,1977-07-01,28.2
CHE,Switzerland,1977-07-01,50.2
DEU,Germany,1977-07-01,44.1
DNK,Denmark,1977-07-01,26.3
ESP,Spain,1977-07-01,12.4
FIN,Finland,1977-07-01,26.3
FRA,France,1977-07-01,27.6
GBR,United Kingdom,1977-07-01,22.1
GRC,Greece,1977-07-01,3.2
IRL,Ireland,1977-07-01,17.9
ISR,Israel,1977-07-01,0.0
ITA,Italy,1977-07-01,12.8
JPN,Japan,1977-07-01,64.2
LUX,Luxembourg,1977-07-01,33.6
NLD,Netherlands,1977-07-01,38.7
NZL,New Zealand,1977-07-01,14.8
PRT,Portugal,1977-07-01,4.9
SWE,Sweden,1977-07-01,26.0
USA,United States,1977-07-01,25.4
AUS,Australia,1977-10-01,20.4
AUT,Austria,1977-10-01,36.8
BEL,Belgium,1977-10-01,33.6
CAN,Canada,1977-10-01,28.7
CHE,Switzerland,1977-10-01,50.3
DEU,Germany,1977-10-01,44.2
DNK,Denmark,1977-10-01,27.4
ESP,Spain,1977-10-01,13.1
FIN,Finland,1977-10-01,26.8
FRA,France,1977-10-01,28.1
GBR,United Kingdom,1977-10-01,22.5
GRC,Greece,1977-10-01,3.4
IRL,Ireland,1977-10-01,18.3
ISR,Israel,1977-10-01,0.0
ITA,Italy,1977-10-01,13.3
JPN,Japan,1977-10-01,65.0
LUX,Luxembourg,1977-10-01,33.8
NLD,Netherlands,1977-10-01,39.3
NZL,New Zealand,1977-10-01,15.4
PRT,Portugal,1977-10-01,5.2
SWE,Sweden,1977-10-01,26.7
USA,United States,1977-10-01,25.8
AUS,Australia,1978-01-01,20.8
AUT,Austria,1978-01-01,37.4
BEL,Belgium,1978-01-01,34.2
CAN,Canada,1978-01-01,29.2
CHE,Switzerland,1978-01-01,50.5
DEU,Germany,1978-01-01,44.8
DNK,Denmark,1978-01-01,28.0
