Country Code,Country,Date,Producer_Price_Inflation
NLD,Netherlands,1982-01-01,4.3
NOR,Norway,1982-01-01,8.5
NZL,New Zealand,1982-01-01,15.0
SGP,Singapore,1982-01-01,-5.2
SWE,Sweden,1982-01-01,12.8
THA,Thailand,1982-01-01,0.9
TTO,Trinidad and Tobago,1982-01-01,13.7
TWN,"Taiwan, China",1982-01-01,-0.2
URY,Uruguay,1982-01-01,12.9
USA,United States,1982-01-01,2.0
ZAF,South Africa,1982-01-01,12.7
ZMB,Zambia,1982-01-01,13.0
AUS,Australia,1983-01-01,8.1
BEL,Belgium,1983-01-01,6.7
CAF,Central African Republic,1983-01-01,8.8
CAN,Canada,1983-01-01,3.5
CHE,Switzerland,1983-01-01,1.1
COG,"Congo, Rep.",1983-01-01,7.7
COL,Colombia,1983-01-01,21.7
DEU,Germany,1983-01-01,1.5
DNK,Denmark,1983-01-01,5.0
ESP,Spain,1983-01-01,14.0
FIN,Finland,1983-01-01,5.8
GAB,Gabon,1983-01-01,8.0
GBR,United Kingdom,1983-01-01,6.5
GTM,Guatemala,1983-01-01,1.2
HUN,Hungary,1983-01-01,4.6
IND,India,1983-01-01,7.7
IRL,Ireland,1983-01-01,6.6
ISR,Israel,1983-01-01,144.5
ITA,Italy,1983-01-01,11.0
JPN,Japan,1983-01-01,-0.6
KOR,"Korea, Rep.",1983-01-01,0.2
LUX,Luxembourg,1983-01-01,4.9
MEX,Mexico,1983-01-01,97.9
NLD,Netherlands,1983-01-01,0.7
NOR,Norway,1983-01-01,6.5
NZL,New Zealand,1983-01-01,5.5
SGP,Singapore,1983-01-01,-3.8
SWE,Sweden,1983-01-01,11.1
THA,Thailand,1983-01-01,2.1
TTO,Trinidad and Tobago,1983-01-01,12.5
TWN,"Taiwan, China",1983-01-01,-1.2
URY,Uruguay,1983-01-01,73.5
USA,United States,1983-01-01,1.3
ZAF,South Africa,1983-01-01,10.1
ZMB,Zambia,1983-01-01,23.1
